c_charge_desc,c_charge_degree_detailed
Felony Battery w/Prior Convict,F3
Possession of Cocaine,F3
Battery,M1
Possession Burglary Tools,F3
"Poss3,4 Methylenedioxymethcath",F3
Grand Theft in the 3rd Degree,F3
Driving While License Revoked,F3
Battery on Law Enforc Officer,F3
Introduce Contraband Into Jail,F3
Lewd/Lasc Battery Pers 12+/<16,F2
Carrying Concealed Firearm,F3
Pos Cannabis W/Intent Sel/Del,F3
Poss Wep Conv Felon,F2
Possess Cannabis/20 Grams Or Less,M1
Unlaw Use False Name/Identity,M1
DUI Level 0.15 Or Minor In Veh,M1
Tampering With Physical Evidence,F3
Possession of Oxycodone,F3
Unlaw LicTag/Sticker Attach,M2
Burglary Structure Unoccup,F3
Poss Cocaine/Intent To Del/Sel,F2
Felony Battery (Dom Strang),F3
Attempted Burg/struct/unocc,F3
Possession Of Alprazolam,F3
Aggravated Assault W/Dead Weap,F3
False Ownership Info/Pawn Item,F2
Possession Of Methamphetamine,F3
Possession of Morphine,F3
Aggrav Stalking After Injunctn,F3
Uttering a Forged Instrument,F3
Crim Use of Personal ID Info,F3
Petit Theft,M1
Resist/Obstruct W/O Violence,M1
Assault,M2
Fail To Obey Police Officer,M2
Felony Petit Theft,F3
Driving Under The Influence,M1
"Deliver 3,4 Methylenediox",F3
Aggravated Assault W/dead Weap,F3
Leave Acc/Attend Veh/More $50,M2
Burglary Unoccupied Dwelling,F2
Possession Of Heroin,F3
Agg Battery Grt/Bod/Harm,F2
Viol Injunct Domestic Violence,M1
Fleeing Or Attmp Eluding A Leo,F3
Criminal Mischief,M2
Aggrav Battery w/Deadly Weapon,F2
Robbery / No Weapon,F2
Grand Theft (Motor Vehicle),F3
Robbery / Weapon,F1
Possession of Cannabis,F3
Aggravated Battery / Pregnant,F2
Burglary Conveyance Unoccup,F3
Driving License Suspended,M2
Agg Fleeing/Eluding High Speed,F2
False Imprisonment,F3
Resist Officer w/Violence,F3
Operating W/O Valid License,M2
Robbery Sudd Snatch No Weapon,F3
Tamper With Witness/Victim/CI,F3
Throw Deadly Missile Into Veh,F2
Exposes Culpable Negligence,M2
Disorderly Intoxication,M2
Leaving the Scene of Accident,F3
DUI Property Damage/Injury,M1
Crimin Mischief Damage $1000+,F3
Fleeing or Eluding a LEO,F3
Aggravated Battery,F2
Fraudulent Use of Credit Card,F3
Drivg While Lic Suspd/Revk/Can,F3
Burglary Dwelling Occupied,F2
Burglary Dwelling Assault/Batt,M1
Cash Item w/Intent to Defraud,F3
Opert With Susp DL 2nd Offens,M1
Fail Register Vehicle,M2
Reckless Driving,M2
Neglect Child / No Bodily Harm,F3
Criminal Mischief Damage <$200,M2
Disorderly Conduct,M2
Viol Pretrial Release Dom Viol,M1
Grand Theft Firearm,F3
Burglary Conveyance Occupied,M2
Use Scanning Device to Defraud,F3
Obstruct Fire Equipment,F3
Unauth Poss ID Card or DL,F3
Child Abuse,F3
Battery on a Person Over 65,F3
Deliver Cannabis,F3
Possession of Hydromorphone,F3
Viol Prot Injunc Repeat Viol,M1
Deliver Cocaine,F2
Uttering Forged Bills,F3
Expired DL More Than 6 Months,M2
Trespass Structure/Conveyance,M2
DUI - Enhanced,M1
Sex Offender Fail Comply W/Law,F3
Lve/Scen/Acc/Veh/Prop/Damage,M2
Posses/Disply Susp/Revk/Frd DL,M2
Prowling/Loitering,M2
Possess Drug Paraphernalia,M1
Felony Battery,F3
Theft/To Deprive,M1
Retail Theft $300 1st Offense,F3
Culpable Negligence,M2
Criminal Mischief>$200<$1000,M1
Att Burgl Unoccupied Dwel,F3
Tresspass Struct/Conveyance,M2
Prostitution/Lewd Act Assignation,M2
Grand Theft Dwell Property,F3
Burgl Dwel/Struct/Convey Armed,F1
Strong Armed  Robbery,F2
Felony Batt(Great Bodily Harm),F3
Robbery W/Firearm,F1
Possession of Hydrocodone,F3
Poss of Firearm by Convic Felo,F2
Attempted Robbery  No Weapon,F3
Stalking (Aggravated),F3
Poss of Cocaine W/I/D/S 1000FT Park,F1
Refuse Submit Blood/Breath Test,M1
Trespass Other Struct/Conve,M1
Felon in Pos of Firearm or Amm,F2
DUI- Enhanced,M1
Petit Theft $100- $300,M1
Violation License Restrictions,M2
D.U.I. Serious Bodily Injury,F3
Poss Anti-Shoplifting Device,F3
Escape,F2
Open Carrying Of Weapon,M2
Throw Missile Into Pub/Priv Dw,F2
Aggrav Child Abuse-Agg Battery,F1
Use of Anti-Shoplifting Device,F3
Tamper With Victim,F3
Oper Motorcycle W/O Valid DL,M2
Poss/Sell/Del Cocaine 1000FT Sch,F1
Viol Injunction Protect Dom Vi,M1
Use Computer for Child Exploit,F3
Harass Witness/Victm/Informnt,F1
Grand Theft of the 2nd Degree,F2
Dealing in Stolen Property,F2
Obtain Control Substance By Fraud,F3
Tampering with a Victim,F1
Agg Assault W/int Com Fel Dome,F3
Poss F/Arm Delinq,F2
Tresspass in Structure or Conveyance,M1
Att Burgl Struc/Conv Dwel/Occp,F3
Extradition/Defendants,M1
Poss Pyrrolidinovalerophenone,F3
Carrying A Concealed Weapon,M1
DWLS Canceled Disqul 1st Off,M2
Unauth C/P/S Sounds>1000/Audio,F3
Misuse Of 911 Or E911 System,M1
Threat Public Servant,F3
Felony Committing Prostitution,F3
Trespass Property w/Dang Weap,M1
Deliver Cannabis 1000FTSch,F2
Sex Batt Faml/Cust Vict 12-17Y,F1
Possession Of Clonazepam,F3
Deliver Cocaine 1000FT School,F1
Deliver Cocaine 1000FT Park,F1
arrest case no charge,
Felony Driving While Lic Suspd,
Susp Drivers Lic 1st Offense,
Aggravated Assault w/Firearm,
Poss Contr Subst W/o Prescript,
Cruelty Toward Child,
Leaving Acc/Unattended Veh,
Burglary With Assault/battery,
Corrupt Public Servant,
Purchase Cannabis,
"Poss 3,4 MDMA (Ecstasy)",
Poss Of Controlled Substance,
Poss Unlaw Issue Driver Licenc,
Manufacture Cannabis,
Lewd or Lascivious Molestation,
Felony/Driving Under Influence,
Agg Fleeing and Eluding,
Felony DUI (level 3),
Burglary Dwelling Armed,
Possession Of Amphetamine,
Burglary Conveyance Armed,
Burglary Conveyance Assault/Bat,
Aggravated Assault,
Solicitation On Felony 3 Deg,
DUI Blood Alcohol Above 0.20,
Del Cannabis For Consideration,
Neglect Child / Bodily Harm,
Solicit Deliver Cocaine,
Live on Earnings of Prostitute,
Sell or Offer for Sale Counterfeit Goods,
Trespassing/Construction Site,
Att Tamper w/Physical Evidence,
Fel Drive License Perm Revoke,
Poss Tetrahydrocannabinols,
Poss Similitude of Drivers Lic,
Poss of Methylethcathinone,
Sale/Del Cannabis At/Near Scho,
Forging Bank Bills/Promis Note,
Attempted Burg/Convey/Unocc,
Grand Theft in the 1st Degree,
Possession of Codeine,
Fail To Redeliv Hire/Leas Prop,
Failure To Return Hired Vehicle,
Prostitution/Lewdness/Assign,
Possession Of Carisoprodol,
Depriv LEO of Protect/Communic,
Lewdness Violation,
Poss Cntrft Contr Sub w/Intent,
Possession of LSD,
Possession of Benzylpiperazine,
Unlicensed Telemarketing,
False Motor Veh Insurance Card,
Aggravated Assault W/o Firearm,
DOC/Cause Public Danger,
Kidnapping / Domestic Violence,
Poss Of RX Without RX,
Tamper With Witness,
Burglary Assault/Battery Armed,
Grand Theft on 65 Yr or Older,
Traffick Amphetamine 28g><200g,
Poss Meth/Diox/Meth/Amp (MDMA),
Soliciting For Prostitution,
DWI w/Inj Susp Lic / Habit Off,
Carry Open/Uncov Bev In Pub,
Fighting/Baiting Animals,
Solic to Commit Battery,
Shoot Into Vehicle,
Aggravated Battery On 65/Older,
Sexual Battery / Vict 12 Yrs +,
Alcoholic Beverage Violation-FL,
Leave Accd/Attend Veh/Less $50,
Possession Firearm School Prop,
Possess w/I/Utter Forged Bills,
Possession Child Pornography,
Traff In Cocaine <400g>150 Kil,
Possess Weapon On School Prop,
Use Of 2 Way Device To Fac Fel,
Possess Tobacco Product Under 18,
Possess Controlled Substance,
Possess Cannabis 1000FTSch,
Poss/pur/sell/deliver Cocaine,
Poss Unlaw Issue Id,
Uttering Forged Credit Card,
Poss Oxycodone W/Int/Sell/Del,
Uttering Worthless Check +$150,
Poss Firearm W/Altered ID#,
Poss Drugs W/O A Prescription,
Video Voyeur-<24Y on Child >16,
"Possession Of 3,4Methylenediox",
Possession Of Phentermine,
Possession Of Anabolic Steroid,
Possession Of Buprenorphine,
Traffic Counterfeit Cred Cards,
Traffick Oxycodone     4g><14g,
Voyeurism,
Structuring Transactions,
Stalking,
Solicit To Deliver Cocaine,
Solicit Purchase Cocaine,
Simulation of Legal Process,
Trespass On School Grounds,
Shoot In Occupied Dwell,
Sexual Performance by a Child,
Sex Battery Deft 18+/Vict 11-,
Sel/Pur/Mfr/Del Control Substa,
Sale/Del Counterfeit Cont Subs,
Robbery W/Deadly Weapon,
Ride Tri-Rail Without Paying,
Retail Theft $300 2nd Offense,
Purchase/P/W/Int Cannabis,
Prostitution,
Possession of Alcohol Under 21,
Throw In Occupied Dwell,
Possession Of Paraphernalia,
Possession Of Fentanyl,
Possession Of Diazepam,
Possession Of Cocaine,
Unl/Disturb Education/Instui,
Unlawful Conveyance of Fuel,
Refuse to Supply DNA Sample,
Abuse Without Great Harm,
Poss Alprazolam W/int Sell/Del,
Crim Attempt/Solic/Consp,
Computer Pornography,
Consp Traff Oxycodone  4g><14g,
Conspiracy Dealing Stolen Prop,
Consume Alcoholic Bev Pub,
Contradict Statement,
Contribute Delinquency Of A Minor,
Counterfeit Lic Plates/Sticker,
Crlty Twrd Child Urge Oth Act,
Carjacking w/o Deadly Weapon,
Cruelty to Animals,
DUI - Property Damage/Personal Injury,
DUI/Property Damage/Persnl Inj,
DWLS Susp/Cancel Revoked,
Defrauding Innkeeper $300/More,
"Del 3,4 Methylenedioxymethcath",
Del Cannabis At/Near Park,
Carjacking with a Firearm,
Burglary Structure Occupied,
Pos Methylenedioxymethcath W/I/D/S,
Assault Law Enforcement Officer,
"Aggr Child Abuse-Torture,Punish",
Aggrav Child Abuse-Causes Harm,
Aggravated Battery (Firearm/Actual Possession),
Aide/Abet Prostitution Lewdness,
Aiding Escape,
Armed Trafficking in Cannabis,
Arson in the First Degree,
Att Burgl Conv Occp,
Burglary Structure Assault/Batt,
Attempt Armed Burglary Dwell,
Attempted Deliv Control Subst,
Attempted Robbery  Weapon,
Battery On A Person Over 65,
Battery On Parking Enfor Speci,
Battery Spouse Or Girlfriend,
Bribery Athletic Contests,
Del of JWH-250 2-Methox 1-Pentyl,
Deliver Alprazolam,
Deliver Cocaine 1000FT Church,
Manslaughter W/Weapon/Firearm,
Lease For Purpose Trafficking,
Lewd Act Presence Child 16-,
Agg Abuse Elderlly/Disabled Adult,
Lewd/Lasciv Molest Elder Persn,
License Suspended Revoked,
Littering,
Manage Busn W/O City Occup Lic,
Money Launder 100K or More Dols,
Deliver Cocaine 1000FT Store,
Murder In 2nd Degree W/firearm,
Murder in the First Degree,
Neglect/Abuse Elderly Person,
Offer Agree Secure For Lewd Act,
Offer Agree Secure/Lewd Act,
Offn Against Intellectual Prop,
Pos Cannabis For Consideration,
Issuing a Worthless Draft,
Intoxicated/Safety Of Another,
Interference with Custody,
Interfere W/Traf Cont Dev RR,
Delivery Of Drug Paraphernalia,
Delivery of 5-Fluoro PB-22,
Delivery of Heroin,
Disrupting School Function,
Exhibition Weapon School Prop,
Fabricating Physical Evidence,
Fail Sex Offend Report Bylaw,
Failure To Pay Taxi Cab Charge,
False 911 Call,
False Bomb Report,
False Info LEO During Invest,
False Name By Person Arrest,
Falsely Impersonating Officer,
Grand Theft of a Fire Extinquisher,
Hiring with Intent to Defraud,
Lewd/Lasc Exhib Presence <16yr,
