model,metrics,values
Vanilla Logistic Regression_rSub,test_accuracy,0.6935483870967742
Vanilla Logistic Regression_rSub,test_accuracy,0.6666666666666666
Vanilla Logistic Regression_rSub,test_accuracy,0.6549865229110512
Vanilla Logistic Regression_rSub,test_accuracy,0.6900269541778976
Vanilla Logistic Regression_rSub,test_accuracy,0.7035040431266847
Vanilla Logistic Regression_rSub,test_accuracy,0.6469002695417789
Vanilla Logistic Regression_rSub,test_accuracy,0.6253369272237197
Vanilla Logistic Regression_rSub,test_accuracy,0.6711590296495957
Vanilla Logistic Regression_rSub,test_accuracy,0.6630727762803235
Vanilla Logistic Regression_rSub,test_accuracy,0.6711590296495957
Vanilla single Tree_rSub,test_accuracy,0.6827956989247311
Vanilla single Tree_rSub,test_accuracy,0.6586021505376344
Vanilla single Tree_rSub,test_accuracy,0.6684636118598383
Vanilla single Tree_rSub,test_accuracy,0.6846361185983828
Vanilla single Tree_rSub,test_accuracy,0.692722371967655
Vanilla single Tree_rSub,test_accuracy,0.6819407008086253
Vanilla single Tree_rSub,test_accuracy,0.633423180592992
Vanilla single Tree_rSub,test_accuracy,0.6954177897574124
Vanilla single Tree_rSub,test_accuracy,0.6711590296495957
Vanilla single Tree_rSub,test_accuracy,0.6469002695417789
Vanilla random forest_rSub,test_accuracy,0.6397849462365591
Vanilla random forest_rSub,test_accuracy,0.6505376344086021
Vanilla random forest_rSub,test_accuracy,0.6576819407008087
Vanilla random forest_rSub,test_accuracy,0.6091644204851752
Vanilla random forest_rSub,test_accuracy,0.6576819407008087
Vanilla random forest_rSub,test_accuracy,0.6118598382749326
Vanilla random forest_rSub,test_accuracy,0.6522911051212938
Vanilla random forest_rSub,test_accuracy,0.6549865229110512
Vanilla random forest_rSub,test_accuracy,0.6522911051212938
Vanilla random forest_rSub,test_accuracy,0.6576819407008087
Tuned Logistic Regression_rSub,test_accuracy,0.6478494623655914
Tuned Logistic Regression_rSub,test_accuracy,0.6801075268817204
Tuned Logistic Regression_rSub,test_accuracy,0.6819407008086253
Tuned Logistic Regression_rSub,test_accuracy,0.6846361185983828
Tuned Logistic Regression_rSub,test_accuracy,0.6873315363881402
Tuned Logistic Regression_rSub,test_accuracy,0.628032345013477
Tuned Logistic Regression_rSub,test_accuracy,0.6792452830188679
Tuned Logistic Regression_rSub,test_accuracy,0.6522911051212938
Tuned Logistic Regression_rSub,test_accuracy,0.7169811320754716
Tuned Logistic Regression_rSub,test_accuracy,0.6873315363881402
Tuned single Tree_rSub,test_accuracy,0.6881720430107527
Tuned single Tree_rSub,test_accuracy,0.6612903225806451
Tuned single Tree_rSub,test_accuracy,0.6576819407008087
Tuned single Tree_rSub,test_accuracy,0.7277628032345014
Tuned single Tree_rSub,test_accuracy,0.6765498652291105
Tuned single Tree_rSub,test_accuracy,0.6792452830188679
Tuned single Tree_rSub,test_accuracy,0.7088948787061995
Tuned single Tree_rSub,test_accuracy,0.6846361185983828
Tuned single Tree_rSub,test_accuracy,0.7223719676549866
Tuned single Tree_rSub,test_accuracy,0.7035040431266847
Bagged tuned single Tree_rSub,test_accuracy,0.6908602150537635
Bagged tuned single Tree_rSub,test_accuracy,0.6559139784946236
Bagged tuned single Tree_rSub,test_accuracy,0.6819407008086253
Bagged tuned single Tree_rSub,test_accuracy,0.7088948787061995
Bagged tuned single Tree_rSub,test_accuracy,0.6711590296495957
Bagged tuned single Tree_rSub,test_accuracy,0.6684636118598383
Bagged tuned single Tree_rSub,test_accuracy,0.692722371967655
Bagged tuned single Tree_rSub,test_accuracy,0.6846361185983828
Bagged tuned single Tree_rSub,test_accuracy,0.7358490566037735
Bagged tuned single Tree_rSub,test_accuracy,0.6981132075471698
Tuned random forest_rSub,test_accuracy,0.6908602150537635
Tuned random forest_rSub,test_accuracy,0.6586021505376344
Tuned random forest_rSub,test_accuracy,0.6711590296495957
Tuned random forest_rSub,test_accuracy,0.6819407008086253
Tuned random forest_rSub,test_accuracy,0.6711590296495957
Tuned random forest_rSub,test_accuracy,0.6738544474393531
Tuned random forest_rSub,test_accuracy,0.706199460916442
Tuned random forest_rSub,test_accuracy,0.6819407008086253
Tuned random forest_rSub,test_accuracy,0.7088948787061995
Tuned random forest_rSub,test_accuracy,0.7008086253369272
Tuned XGB_rSub,test_accuracy,0.6666666666666666
Tuned XGB_rSub,test_accuracy,0.6451612903225806
Tuned XGB_rSub,test_accuracy,0.692722371967655
Tuned XGB_rSub,test_accuracy,0.7008086253369272
Tuned XGB_rSub,test_accuracy,0.6846361185983828
Tuned XGB_rSub,test_accuracy,0.6819407008086253
Tuned XGB_rSub,test_accuracy,0.7008086253369272
Tuned XGB_rSub,test_accuracy,0.692722371967655
Tuned XGB_rSub,test_accuracy,0.7331536388140162
Tuned XGB_rSub,test_accuracy,0.692722371967655
Vanilla Logistic Regression_rSub,test_precision,0.5542857142857143
Vanilla Logistic Regression_rSub,test_precision,0.5328947368421053
Vanilla Logistic Regression_rSub,test_precision,0.5153374233128835
Vanilla Logistic Regression_rSub,test_precision,0.5576923076923077
Vanilla Logistic Regression_rSub,test_precision,0.5741935483870968
Vanilla Logistic Regression_rSub,test_precision,0.5058139534883721
Vanilla Logistic Regression_rSub,test_precision,0.4810126582278481
Vanilla Logistic Regression_rSub,test_precision,0.5307262569832403
Vanilla Logistic Regression_rSub,test_precision,0.521505376344086
Vanilla Logistic Regression_rSub,test_precision,0.5345911949685535
Vanilla single Tree_rSub,test_precision,0.5454545454545454
Vanilla single Tree_rSub,test_precision,0.5212121212121212
Vanilla single Tree_rSub,test_precision,0.5284090909090909
Vanilla single Tree_rSub,test_precision,0.5588235294117647
Vanilla single Tree_rSub,test_precision,0.5508021390374331
Vanilla single Tree_rSub,test_precision,0.5477707006369427
Vanilla single Tree_rSub,test_precision,0.4897959183673469
Vanilla single Tree_rSub,test_precision,0.5757575757575758
Vanilla single Tree_rSub,test_precision,0.5333333333333333
Vanilla single Tree_rSub,test_precision,0.50625
Vanilla random forest_rSub,test_precision,0.4967741935483871
Vanilla random forest_rSub,test_precision,0.5161290322580645
Vanilla random forest_rSub,test_precision,0.5238095238095238
Vanilla random forest_rSub,test_precision,0.4523809523809524
Vanilla random forest_rSub,test_precision,0.5217391304347826
Vanilla random forest_rSub,test_precision,0.4645161290322581
Vanilla random forest_rSub,test_precision,0.5147058823529411
Vanilla random forest_rSub,test_precision,0.518796992481203
Vanilla random forest_rSub,test_precision,0.5140845070422535
Vanilla random forest_rSub,test_precision,0.5220588235294118
Tuned Logistic Regression_rSub,test_precision,0.5144508670520231
Tuned Logistic Regression_rSub,test_precision,0.554140127388535
Tuned Logistic Regression_rSub,test_precision,0.5542168674698795
Tuned Logistic Regression_rSub,test_precision,0.558282208588957
Tuned Logistic Regression_rSub,test_precision,0.5602409638554217
Tuned Logistic Regression_rSub,test_precision,0.4945652173913043
Tuned Logistic Regression_rSub,test_precision,0.55
Tuned Logistic Regression_rSub,test_precision,0.5197368421052632
Tuned Logistic Regression_rSub,test_precision,0.5882352941176471
Tuned Logistic Regression_rSub,test_precision,0.5549132947976878
Tuned single Tree_rSub,test_precision,0.554945054945055
Tuned single Tree_rSub,test_precision,0.5277777777777778
Tuned single Tree_rSub,test_precision,0.5226130653266332
Tuned single Tree_rSub,test_precision,0.6206896551724138
Tuned single Tree_rSub,test_precision,0.5506329113924051
Tuned single Tree_rSub,test_precision,0.5521472392638037
Tuned single Tree_rSub,test_precision,0.5906040268456376
Tuned single Tree_rSub,test_precision,0.5584415584415584
Tuned single Tree_rSub,test_precision,0.6176470588235294
Tuned single Tree_rSub,test_precision,0.577639751552795
Bagged tuned single Tree_rSub,test_precision,0.5621301775147929
Bagged tuned single Tree_rSub,test_precision,0.524390243902439
Bagged tuned single Tree_rSub,test_precision,0.5555555555555556
Bagged tuned single Tree_rSub,test_precision,0.5958904109589042
Bagged tuned single Tree_rSub,test_precision,0.5460526315789473
Bagged tuned single Tree_rSub,test_precision,0.5398773006134969
Bagged tuned single Tree_rSub,test_precision,0.5686274509803921
Bagged tuned single Tree_rSub,test_precision,0.5661764705882353
Bagged tuned single Tree_rSub,test_precision,0.6178343949044586
Bagged tuned single Tree_rSub,test_precision,0.5705521472392638
Tuned random forest_rSub,test_precision,0.559322033898305
Tuned random forest_rSub,test_precision,0.5251396648044693
Tuned random forest_rSub,test_precision,0.5393258426966292
Tuned random forest_rSub,test_precision,0.5511363636363636
Tuned random forest_rSub,test_precision,0.5432098765432098
Tuned random forest_rSub,test_precision,0.543859649122807
Tuned random forest_rSub,test_precision,0.5844155844155844
Tuned random forest_rSub,test_precision,0.554140127388535
Tuned random forest_rSub,test_precision,0.5754189944134078
Tuned random forest_rSub,test_precision,0.572289156626506
Tuned XGB_rSub,test_precision,0.532608695652174
Tuned XGB_rSub,test_precision,0.5114942528735632
Tuned XGB_rSub,test_precision,0.5654761904761905
Tuned XGB_rSub,test_precision,0.5816993464052288
Tuned XGB_rSub,test_precision,0.5590062111801242
Tuned XGB_rSub,test_precision,0.5511363636363636
Tuned XGB_rSub,test_precision,0.5769230769230769
Tuned XGB_rSub,test_precision,0.5660377358490566
Tuned XGB_rSub,test_precision,0.6071428571428571
Tuned XGB_rSub,test_precision,0.5636363636363636
Vanilla Logistic Regression_rSub,test_recall,0.7293233082706767
Vanilla Logistic Regression_rSub,test_recall,0.6044776119402985
Vanilla Logistic Regression_rSub,test_recall,0.631578947368421
Vanilla Logistic Regression_rSub,test_recall,0.6541353383458647
